,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
884,201900013345,138 281 622,B01,2,33,0,2,0,1,1,,13,9,2019,16:00,1,75,75111,2,1,1,3,BOULEVARD DE MENILMONTANT,48.861333,2.388039
885,201900013346,138 281 620,A01,2,30,0,1,1,17,3,,13,9,2019,11:45,1,75,75111,2,4,1,6,BOULEVARD VOLTAIRE,48.8573638,2.3808514
886,201900013347,138 281 618,A01,1,1,0,2,4,1,5,,13,9,2019,20:00,5,75,75109,2,2,1,2,RUE DE LA CHAUSSEE D ANTIN,48.875259,2.332291
887,201900013347,138 281 619,B01,1,33,0,2,1,1,1,,13,9,2019,20:00,5,75,75109,2,2,1,2,RUE DE LA CHAUSSEE D ANTIN,48.875259,2.332291
888,201900013348,138 281 616,B01,1,30,0,2,3,1,3,,13,9,2019,20:14,5,75,75109,2,3,1,3,BOULEVARD DE CLICHY,48.884102,2.330817
889,201900013350,138 281 614,B01,2,42,0,2,1,1,1,,12,9,2019,17:24,1,75,75108,2,3,1,3,PLACE CLEMENCEAU,48.8677391,2.3139901
890,201900013352,138 281 608,A01,1,32,0,2,4,2,1,,13,9,2019,17:00,1,75,75102,2,3,1,6,BOULEVARD DE SEBASTOPOL,48.868187,2.353622
891,201900013353,138 281 607,B01,1,1,0,2,2,1,5,,12,9,2019,19:45,5,75,75104,2,1,1,3,BOULEVARD DE SEBASTOPOL,48.86096,2.349575
892,201900013397,138 281 514,A01,1,34,0,2,1,17,1,,19,3,2019,18:30,1,75,75105,2,1,1,4,RUE GAY LUSSAC,48.845108,2.341647
893,201900013398,138 281 512,B01,1,43,0,2,2,1,1,,19,3,2019,15:00,1,75,75120,2,1,1,3,RUE DES ORTEAUX,48.855626,2.408913
894,201900013400,138 281 510,A01,3,50,0,0,0,1,3,,19,3,2019,13:41,1,75,75119,2,1,1,7,RUE CURIAL,48.890802,2.372001
895,201900013401,138 281 508,A01,2,30,0,2,3,18,1,,19,3,2019,16:45,1,75,75118,2,2,1,3,RUE ORDENER,48.891562,2.349591
896,201900013403,138 281 505,B01,1,31,0,2,2,1,1,,18,3,2019,11:35,1,75,75116,2,4,1,3,AVENUE EDOUARD VAILLANT,48.836658,2.255104
897,201900013403,138 281 506,A01,1,1,0,2,2,13,5,,18,3,2019,11:35,1,75,75116,2,4,1,3,AVENUE EDOUARD VAILLANT,48.836658,2.255104
898,201900013404,138 281 503,A01,1,30,0,2,1,7,1,,19,3,2019,17:20,1,75,75115,2,1,1,3,RUE DE LA CONVENTION,48.841676,2.286606
899,201900013406,138 281 501,A01,2,2,1,0,1,14,1,,18,3,2019,22:40,5,75,75115,2,2,1,6,AVENUE EMILE ZOLA,48.846945,2.293615
900,201900013408,138 281 499,B01,1,2,0,2,3,1,1,,19,3,2019,22:00,5,75,75114,2,2,1,3,RUE D ALESIA,48.827466,2.334863
